learning_rate,batch_size,RMSE
0.001,2,0.8455948969634693
0.001,4,0.78141958303505
0.001,8,0.987741224788228
0.001,16,0.8088207939683077
0.001,32,0.9239127057896849
0.001,64,1.1077506840384577
0.001,128,1.1935425163626026
0.01,2,1.5811717771700415
0.01,4,1.3371135153275895
0.01,8,1.2701495733565455
0.01,16,1.165046787795924
0.01,32,1.011455251189439
0.01,64,1.0971606347280747
0.01,128,1.206454735018652
0.1,2,1.6797322821746514
0.1,4,2.3661950174221973
0.1,8,1.7525988763405327
0.1,16,1.630685251043245
0.1,32,1.6021431219339926
0.1,64,1.5559571415752644
0.1,128,1.5588655545521524
