Temperature,Turbidity,Conductivity,PH,Dissolved oxygen
0.7853882,0.14,0.47182837,0.88395053,0.5374532
0.7853882,0.152,0.36679104,0.8851852,0.5983146
0.7853882,0.148,0.42108208,0.882716,0.60674155
0.7853882,0.134,0.3449627,0.8814814,0.61329585
0.7808219,0.134,0.27873135,0.8814814,0.64232206
0.7808219,0.136,0.41417912,0.8790123,0.6058052
0.7716895,0.132,0.38227612,0.8802469,0.5917603
0.7671233,0.12,0.40093285,0.8802469,0.59363294
0.76255715,0.12,0.4016791,0.8790123,0.6086142
0.76255715,0.12,0.40149254,0.8790123,0.6310861
0.7762557,0.122,0.17070895,0.8790123,0.653558
0.7899543,0.128,0.4324627,0.87654316,0.55898875
0.7899543,0.124,0.5031716,0.8790123,0.5543071
0.79452056,0.148,0.54570895,0.8802469,0.585206
0.79908675,0.196,0.5257463,0.882716,0.5955056
0.79908675,0.192,0.47593284,0.8814814,0.5646067
0.80821925,0.196,0.52462685,0.882716,0.60393256
0.803653,0.192,0.5658582,0.8802469,0.5674157
0.80821925,0.186,0.49365672,0.882716,0.5926966
0.803653,0.194,0.5710821,0.882716,0.56554306
0.79452056,0.188,0.5600746,0.882716,0.5290262
0.79908675,0.174,0.5781717,0.882716,0.53370786
0.79908675,0.168,0.55708957,0.88395053,0.52434456
0.803653,0.168,0.5781717,0.882716,0.54681647
0.79908675,0.174,0.5882463,0.8814814,0.60393256
0.803653,0.152,0.62649256,0.8814814,0.52996254
0.803653,0.154,0.6171642,0.8851852,0.5833333
0.7899543,0.126,0.5404851,0.8851852,0.5383895
0.7853882,0.128,0.15858209,0.8814814,0.5
0.7853882,0.128,0.54160446,0.882716,0.4840824
0.7808219,0.12,0.40615672,0.882716,0.48033708
0.7808219,0.126,0.5410448,0.8814814,0.49063668
0.7762557,0.136,0.54347014,0.8814814,0.4756554
0.7853882,0.13,0.55205226,0.8814814,0.5
0.7899543,0.15,0.4175373,0.8814814,0.52434456
0.79452056,0.164,0.37929106,0.8814814,0.47659177
0.7899543,0.15,0.60597014,0.8814814,0.48876402
0.79452056,0.138,0.61380595,0.882716,0.49625468
0.803653,0.16,0.33003733,0.88395053,0.48033708
0.80821925,0.154,0.59850746,0.882716,0.5805243
0.803653,0.154,0.48059702,0.8790123,0.5262172
0.8127854,0.148,0.43097016,0.8802469,0.69101125
0.8127854,0.18,0.6007463,0.8790123,0.5983146
0.80821925,0.184,0.64309704,0.8802469,0.58146065
0.8127854,0.236,0.035074625,0.882716,0.5646067
0.803653,0.182,0.55261195,0.87777776,0.65636706
0.803653,0.194,0.47873133,0.87654316,0.61610484
0.803653,0.212,0.57873136,0.87777776,0.5646067
0.79452056,0.164,0.55671644,0.8790123,0.5543071
0.79908675,0.172,0.5537313,0.8790123,0.52340823
0.79452056,0.156,0.62126863,0.8814814,0.45411983
0.7899543,0.2,0.6677239,0.8876543,0.3932584
0.79908675,0.182,0.041791044,0.8901234,0.42322096
0.7899543,0.14,0.41604477,0.8876543,0.54307115
0.79452056,0.106,0.37761194,0.87654316,0.5898876
0.79908675,0.078,0.32481343,0.8790123,0.48314604
0.79452056,0.064,0.27014926,0.8703703,0.6301498
0.803653,0.07,0.2824627,0.8703703,0.5374532
0.803653,0.094,0.3085821,0.8716049,0.4559925
0.80821925,0.09,0.3266791,0.87530863,0.41385767
0.80821925,0.09,0.32425374,0.87530863,0.44756556
0.80821925,0.086,0.3322761,0.87407404,0.3932584
0.8127854,0.33,0.3369403,0.8938271,0.56179774
0.8127854,0.302,0.34664178,0.89876544,0.5252809
0.80821925,0.092,0.37238806,0.90123457,0.49625468
0.803653,0.372,0.42108208,0.9061728,0.5449438
0.80821925,0.412,0.4175373,0.90864193,0.5730337
0.80821925,0.504,0.45074627,0.91111106,0.61329585
0.803653,0.308,0.43992537,0.91234565,0.56554306
0.80821925,0.578,0.37182835,0.9148148,0.6058052
0.80821925,0.66,0.36958954,0.91234565,0.6189138
0.8127854,0.716,0.43003732,0.90864193,0.55898875
0.79908675,0.652,0.36156717,0.9209876,0.5861423
0.803653,0.892,0.35,0.91604936,0.5964419
0.79908675,0.908,0.37350747,0.90864193,0.5215356
0.80821925,0.268,0.39160448,0.90864193,0.5
0.79908675,0.528,0.36380598,0.9148148,0.5224719
0.79908675,0.672,0.3544776,0.91111106,0.5374532
0.79908675,0.218,0.34160447,0.91111106,0.5440075
0.803653,0.942,0.34962687,0.90740734,0.5093633
0.803653,0.7,0.4583955,0.9024691,0.4597378
0.8127854,0.63,0.41119403,0.90740734,0.4662921
0.82191783,0.71,0.3330224,0.9172839,0.64513105
0.82191783,0.588,0.35429105,0.90987647,0.5955056
0.8127854,0.544,0.44906718,0.90123457,0.44382018
0.82191783,0.518,0.40615672,0.90987647,0.61610484
0.82191783,0.27,0.5059701,0.9024691,0.5009363
0.82191783,0.664,0.45783582,0.91234565,0.5674157
0.84018266,0.584,0.41809702,0.9234567,0.65636706
0.8493151,0.232,0.40951493,0.91234565,0.59456927
0.84474885,0.44,0.37164178,0.92469126,0.7556179
0.84018266,0.516,0.41567165,0.9234567,0.74157304
0.8356164,0.414,0.37518656,0.9333333,0.7687266
0.84018266,0.364,0.41231343,0.9209876,0.7191011
0.84018266,0.602,0.40708956,0.9185185,0.7050562
0.84018266,0.398,0.39626867,0.9172839,0.68726593
0.8356164,0.424,0.39738807,0.9209876,0.6722846
0.84018266,0.182,0.39291045,0.91111106,0.6460674
0.84018266,0.474,0.3380597,0.91358024,0.67696625
0.84018266,0.442,0.39626867,0.90864193,0.68632954
