time_step,true_value,predicted_value
0,14.100000038278672,13.336861155262644
1,14.300000437037827,13.523250390609554
2,14.100000038278672,13.377250159907433
3,13.50000004984249,12.765337232902167
4,12.399999668429059,11.996011182916646
5,11.40000009031585,11.190841235032304
6,10.29999970890242,10.32404178963015
7,9.400000028208467,9.624627706796712
8,8.500000347514513,9.030364360531658
9,7.599999458979276,8.325240811955945
10,6.700000231225805,7.621051377632071
11,5.800000399551691,6.8221360848488795
12,2.699999805050719,2.663822391977771
13,2.900000052829714,2.7719258475413344
14,2.99999979926881,2.9259813227364613
15,3.200000047047805,3.083721015803467
16,3.5000003432262172,3.288971900617555
17,3.7000001380647305,3.523417517070423
18,3.9000002348635654,3.7255085381093886
19,4.200000002611416,3.906881910570484
20,4.5000002232997485,4.07821895236507
21,4.80000048173312,4.262831226715211
22,5.000000201081553,4.483757173732981
23,5.300000450078666,4.7557343065715765
24,3.5000003432262172,3.976456588044436
25,4.900000096064576,3.6370048740167586
26,4.80000048173312,3.8999335016327086
27,4.300000503951314,3.741789634676554
28,4.000000358753062,3.643204119399078
29,3.7000001380647305,3.689201735039055
30,3.4000002948267998,3.6572931350187057
31,3.099999696688067,3.612506833204895
32,3.099999696688067,3.9030483733200594
33,4.5000002232997485,4.486429673550624
34,4.400000174900331,4.682811379827475
35,4.80000048173312,4.7105458691007795
36,6.700000231225805,6.9614871492909565
37,7.100000122863152,6.855901287900558
38,7.500000316460822,6.765510371804057
39,7.000000074463736,6.878434925846632
40,6.6000001828263875,6.992875471678878
41,6.50000013442697,7.07374814552897
42,6.6000001828263875,7.14315100758049
43,6.900000479004799,7.2059688699400954
44,7.300000219661987,7.287603691639433
45,7.800000461659074,7.514146100620726
46,8.299999948755357,7.929217737741158
47,8.899999635231222,8.56466062077038
48,3.4000002948267998,3.5745618953952008
49,3.200000047047805,3.465547274564167
50,2.900000052829714,3.14388525086547
51,2.799999853450136,2.784710092615565
52,2.799999853450136,2.548051107012555
53,2.799999853450136,2.4037463835107147
54,2.699999805050719,2.324590203103184
55,2.699999805050719,2.290006687582627
56,2.699999805050719,2.281378171420923
57,2.699999805050719,2.2844708490247085
58,2.799999853450136,2.28935505721073
59,2.900000052829714,2.292836055786832
60,0.7999997913427539,0.7843558310520957
61,0.6999998939234968,0.8228198386529351
62,0.6999998939234968,0.809564686458699
63,0.6999998939234968,0.8253544935842152
64,0.7999997913427539,0.8643565944763993
65,0.8999999907223311,0.9166464592774461
66,0.9999998881415881,0.9576750158813068
67,1.200000286900743,0.9781992588738184
68,1.200000286900743,0.9834062626425817
69,1.200000286900743,0.965367757009411
70,1.200000286900743,0.9747514759329843
71,1.200000286900743,0.9705937842783734
72,9.199999931409632,8.358020114560802
73,8.800000643692925,8.331669245221615
74,7.500000316460822,7.576679516358311
75,7.300000219661987,7.351278970329439
76,6.000000118900125,6.9579122410551415
77,6.900000479004799,7.095634229567475
78,6.700000231225805,7.189173987887397
79,7.20000017126257,7.637103890236528
80,7.999999954537268,8.531207946650545
81,7.599999458979276,8.3868811800453
82,7.800000461659074,8.35265246790147
83,8.400000148134936,8.345114330457521
84,5.699999822721712,6.366784979189963
85,5.100000277789751,6.177199116398897
86,4.599999856503725,5.772372540016605
87,4.300000503951314,5.368069978025709
88,4.099999954211999,4.863798129843058
89,3.9000002348635654,4.47835616045822
90,3.7000001380647305,4.130997313474799
91,3.5000003432262172,3.8373812133750853
92,3.2999997934869025,3.630042725884394
93,3.200000047047805,3.4650926733014744
94,3.099999696688067,3.3450729576053018
95,3.099999696688067,3.253301176962607
